val_0_xcoord,val_0_ycoord,val_1_xcoord,val_1_ycoord,val_2_xcoord,val_2_ycoord,val_3_xcoord,val_3_ycoord,val_4_xcoord,val_4_ycoord,val_5_xcoord,val_5_ycoord,val_6_xcoord,val_6_ycoord,val_7_xcoord,val_7_ycoord,val_8_xcoord,val_8_ycoord,val_9_xcoord,val_9_ycoord,val_10_xcoord,val_10_ycoord,val_11_xcoord,val_11_ycoord,val_12_xcoord,val_12_ycoord,val_13_xcoord,val_13_ycoord,val_14_xcoord,val_14_ycoord,val_15_xcoord,val_15_ycoord,val_16_xcoord,val_16_ycoord,val_17_xcoord,val_17_ycoord,val_18_xcoord,val_18_ycoord,val_19_xcoord,val_19_ycoord,val_20_xcoord,val_20_ycoord,val_21_xcoord,val_21_ycoord,val_22_xcoord,val_22_ycoord,val_23_xcoord,val_23_ycoord
9.016,0.928,0.374,1.148,-61.063,-31.781,16.852,-76.679,10.273,-1.732,7.772,1.198,-65.266,-7.685,9.96,1.14,0.0,-9.049,-7.331,-76.759,-30.156,-68.401,5.902,-11.982,2.601,1.206,0.283,1.192,10.045,1.184,5.05,1.058,10.449,0.981,-48.889,-52.72,0.0,-19.249,70.507,-31.719,58.134,-52.85,39.713,-68.357,10.217,-11.866,74.726,-7.802
8.979,0.951,0.374,1.149,-61.082,-31.778,16.832,-76.678,10.254,-1.728,7.762,1.201,-65.286,-7.682,9.96,1.526,0.0,-2.269,-7.35,-76.758,-30.176,-68.398,5.802,-11.943,2.592,1.207,0.283,1.242,10.045,1.234,5.05,4.876,10.399,1.031,-48.908,-52.719,0.0,-8.849,70.487,-31.717,58.114,-52.848,39.694,-68.356,10.217,-9.099,74.707,-7.798
5.983,0.951,0.393,1.201,-61.101,-31.771,16.813,-76.672,10.235,-1.721,7.753,1.205,-65.304,-7.676,9.876,1.89,-0.001,-2.264,-7.369,-76.752,-30.194,-68.391,5.802,-9.491,2.582,1.211,0.307,1.242,10.074,1.234,4.999,5.083,10.399,1.131,-48.927,-52.713,0.2,-8.849,70.468,-31.712,58.096,-52.842,39.675,-68.351,10.4,-9.099,53.111,1.672
5.983,0.947,0.43,1.301,-61.118,-31.761,16.796,-76.662,10.219,-1.71,7.745,1.211,-65.321,-7.666,9.875,1.893,-0.001,-2.024,-7.386,-76.743,-30.211,-68.38,5.827,-9.462,2.574,1.216,0.341,1.403,10.074,2.925,4.997,5.086,10.449,1.181,-48.945,-52.704,0.2,-19.049,70.451,-31.702,58.079,-52.832,39.657,-68.342,10.4,-10.384,21.147,1.006
4.31,0.959,0.464,1.396,-61.132,-31.748,16.781,-76.65,10.205,-1.696,7.739,1.218,-65.336,-7.652,9.874,1.898,0.003,-2.005,-7.402,-76.73,-30.225,-68.367,5.827,-8.431,2.567,1.222,0.367,1.696,10.046,3.036,4.997,10.579,16.432,1.181,-48.96,-52.692,2.121,-19.049,70.436,-31.69,58.064,-52.82,39.642,-68.33,10.517,-10.866,20.575,1.006
1.349,0.959,0.565,2.505,-61.144,-31.732,16.768,-76.635,10.194,-1.68,7.734,1.226,-65.347,-7.636,9.851,1.999,0.01,-1.987,-7.414,-76.715,-30.236,-68.351,5.802,-8.393,2.561,1.23,0.283,2.413,10.047,3.036,3.922,34.86,16.807,1.183,-48.973,-52.677,2.161,-19.059,51.316,-8.219,58.051,-52.804,39.629,-68.315,10.517,-11.866,20.556,1.01
1.307,0.933,0.65,2.922,-61.152,-31.714,16.759,-76.617,10.186,-1.662,7.73,1.236,-65.356,-7.619,9.85,2.003,0.021,-1.97,-7.424,-76.698,-30.244,-68.333,5.802,-3.366,2.557,1.239,0.107,3.053,10.047,3.037,-7.591,61.304,20.628,1.206,-48.982,-52.66,2.201,-19.079,19.637,-7.371,58.042,-52.787,39.619,-68.298,10.217,-11.866,20.538,1.017
0.547,0.933,0.648,2.932,-61.157,-31.695,16.753,-76.598,10.182,-1.643,7.729,1.245,-65.36,-7.599,9.849,2.005,0.035,-1.956,-7.429,-76.679,-30.249,-68.314,4.866,-3.352,2.554,1.249,-0.018,3.232,10.046,3.047,-7.595,61.323,20.653,1.006,-48.988,-52.641,2.221,-19.109,19.605,-7.392,49.574,-22.713,39.613,-68.279,,,20.521,1.028
0.508,0.959,0.639,3.357,-61.157,-31.675,16.752,-76.579,10.181,-1.487,7.735,1.385,-65.361,-7.58,9.787,2.271,0.052,-1.945,-7.431,-76.659,-30.249,-68.294,4.846,-3.341,2.548,1.385,-0.015,3.233,10.046,3.057,-7.595,61.343,16.805,0.983,-48.99,-52.621,2.221,-19.189,19.603,-7.386,35.204,-12.29,36.258,-40.586,,,20.507,1.042
0.349,0.959,0.578,3.542,-61.154,-31.656,20.445,-39.529,10.18,-1.483,7.763,1.608,-65.358,-7.56,9.773,2.331,0.07,-1.938,-7.43,-76.64,-30.246,-68.274,4.819,-3.311,2.522,1.602,-0.024,3.248,10.122,3.372,-7.592,61.362,16.468,0.981,-48.989,-52.602,2.201,-19.219,19.603,-7.391,20.058,-9.049,31.43,-23.124,,,20.496,1.059
